"","Planner Group code","Satindex"
"1","412",3.57142857142857
"2","411",3.71428571428571
"3","412",4
"4","411",3.57142857142857
"5","411",4
"6","322",5
"7","322",4.85714285714286
"8","322",5
"9","322",4
"10","322",5
"11","322",5
"12","322",4
"13","322",4
"14","312",5
"15","312",4.57142857142857
"16","311",5
"17","312",5
"18","312",4
"19","312",3.57142857142857
"20","311",5
"21","312",3.71428571428571
"22","311",3.28571428571429
"23","312",3.42857142857143
"24","312",4
"25","412",3.14285714285714
"26","322",1
"27","432",3.42857142857143
"28","41B",1
"29","41B",5
"30","41A",5
"31","41A",5
"32","41A",5
"33","412",3.57142857142857
"34","412",4
"35","412",5
"36","412",5
"37","411",4
"38","411",4
"39","411",4
"40","412",5
"41","411",4.42857142857143
"42","412",5
"43","411",4.42857142857143
"44","411",5
"45","43A",2.71428571428571
"46","43B",4
"47","43A",5
"48","43A",5
"49","43A",4.71428571428571
"50","43B",3
"51","43A",5
"52","31B",5
"53","42A",5
"54","42B",3.57142857142857
"55","42B",2.71428571428571
"56","42A",5
"57","42B",5
"58","42A",5
"59","42B",5
"60","42B",4
"61","42A",5
"62","42A",5
"63","42B",5
"64","42A",5
"65","42A",5
"66","42B",5
"67","42A",4
"68","42A",4
"69","42A",4.57142857142857
"70","42B",4
"71","42B",5
"72","42B",2.71428571428571
"73","86A",5
"74","86A",3.57142857142857
"75","85B",5
"76","85B",5
"77","85B",5
"78","85A",5
"79","85B",3.57142857142857
"80","85B",4.28571428571429
"81","85B",5
"82","85A",1
"83","85A",3.42857142857143
"84","85B",3.57142857142857
"85","85A",4
"86","85B",3.14285714285714
"87","85B",2.42857142857143
"88","85B",4
"89","352",2
"90","352",3.57142857142857
"91","352",5
"92","352",4.14285714285714
"93","352",4
"94","352",4
"95","352",5
"96","352",4
"97","352",3.28571428571429
"98","352",3.28571428571429
"99","352",4
"100","352",4.42857142857143
"101","352",3.57142857142857
"102","352",4
"103","352",5
"104","352",1.71428571428571
"105","352",1.28571428571429
"106","352",3.14285714285714
"107","352",4
"108","352",3.57142857142857
"109","352",1.28571428571429
"110","83A",4
"111","43A",4.71428571428571
"112","31B",1.57142857142857
"113","42A",5
"114","42A",4
"115","31B",5
"116","31B",5
"117","31A",5
"118","31B",3.57142857142857
"119","31B",4.14285714285714
"120","31A",3.14285714285714
"121","31B",1
"122","31B",4
"123","31A",5
"124","31A",3.14285714285714
"125","31B",5
"126","31A",3.57142857142857
"127","852",5
"128","852",2.71428571428571
"129","852",4
"130","82A",3.14285714285714
"131","852",4
"132","84B",4.28571428571429
"133","84B",5
"134","841",3
"135","84A",3.14285714285714
"136","84B",1
"137","842",3.14285714285714
"138","84B",4
"139","841",1
"140","841",3.14285714285714
"141","842",3.14285714285714
"142","83A",2.71428571428571
"143","831",3.71428571428571
"144","831",5
"145","831",5
"146","831",4.71428571428571
"147","831",1
"148","832",5
"149","82B",3.42857142857143
"150","82A",5
"151","82A",4
"152","82A",5
"153","822",3
"154","822",3.14285714285714
"155","82A",3.57142857142857
"156","821",4.57142857142857
"157","822",5
"158","822",4
"159","821",4.57142857142857
"160","821",5
"161","822",3.85714285714286
"162","822",2.71428571428571
"163","822",4.42857142857143
"164","81A",3.71428571428571
"165","81A",3.42857142857143
"166","812",5
"167","811",5
"168","811",2.71428571428571
"169","812",3.85714285714286
"170","812",5
"171","811",4
"172","812",5
"173","811",2.85714285714286
"174","812",4.42857142857143
"175","812",5
"176","811",4.28571428571429
"177","811",4
"178","811",3.14285714285714
"179","812",4.57142857142857
"180","882",4
"181","641",5
"182","641",4
"183","86K",2.85714285714286
"184","84K",5
"185","86L",5
"186","86L",4
"187","86K",5
"188","60K",3.14285714285714
"189","84K",4
"190","84K",1
"191","84K",4
"192","84K",4
"193","84K",5
"194","84K",4.14285714285714
"195","882",5
"196","882",3.57142857142857
"197","881",3.14285714285714
"198","881",1
"199","882",2.71428571428571
"200","882",5
"201","882",5
"202","882",3.57142857142857
"203","882",4
"204","881",4
"205","881",3.14285714285714
"206","881",5
"207","882",5
"208","882",4
"209","881",5
"210","881",4
"211","882",3.71428571428571
"212","882",4.71428571428571
"213","881",3.57142857142857
"214","85A",5
"215","31L",3.57142857142857
"216","86A",3.14285714285714
"217","86A",4
"218","651",5
"219","651",2
"220","652",4.57142857142857
"221","652",4
"222","811",4
"223","472",3.57142857142857
"224","811",4.42857142857143
"225","472",3
"226","651",5
"227","652",4.28571428571429
"228","651",4
"229","651",4.14285714285714
"230","651",5
"231","652",4.85714285714286
"232","631",2.71428571428571
"233","632",2.42857142857143
"234","631",4
"235","631",4.28571428571429
"236","632",4
"237","632",3.42857142857143
"238","631",3
"239","631",4.85714285714286
"240","631",3.57142857142857
"241","631",3.14285714285714
"242","631",5
"243","631",5
"244","62A",2.71428571428571
"245","62A",3.57142857142857
"246","62A",4
"247","62A",4.42857142857143
"248","62A",3.57142857142857
"249","62A",4.14285714285714
"250","47B",4
"251","47B",3.14285714285714
"252","47B",4
"253","47B",4
"254","441",5
"255","442",3.57142857142857
"256","441",2.28571428571429
"257","441",5
"258","431",3
"259","432",5
"260","432",4
"261","431",3.14285714285714
"262","431",5
"263","431",4
"264","432",1.85714285714286
"265","432",5
"266","432",2.71428571428571
"267","432",3.57142857142857
"268","432",4
"269","432",4
"270","432",3.57142857142857
"271","421",3.14285714285714
"272","422",5
"273","422",5
"274","422",4
"275","421",1
"276","41A",5
"277","41A",3.57142857142857
"278","41B",5
"279","41B",5
"280","41B",5
"281","41A",2.71428571428571
"282","41A",5
"283","41A",4
"284","41A",3
"285","411",4
"286","411",1.42857142857143
"287","411",5
"288","411",2.71428571428571
"289","412",4
"290","412",5
"291","322",3.57142857142857
"292","322",4
"293","322",5
"294","311",5
"295","311",2.71428571428571
"296","311",3.57142857142857
"297","311",5
"298","62A",4.42857142857143
"299","62A",5
"300","62A",4.42857142857143
"301","622",3.57142857142857
"302","621",4
"303","622",3.28571428571429
"304","622",4
"305","622",3.85714285714286
"306","621",4.28571428571429
"307","621",4
"308","622",2.14285714285714
"309","622",2.71428571428571
"310","622",3.85714285714286
"311","622",4
"312","621",5
"313","622",5
"314","621",5
"315","622",4
"316","622",3.85714285714286
"317","622",2.85714285714286
"318","621",5
"319","622",4
"320","621",5
"321","622",4.42857142857143
"322","622",5
"323","622",5
"324","622",1.57142857142857
"325","621",5
"326","622",1
"327","621",3.85714285714286
"328","622",3.71428571428571
"329","61A",3.14285714285714
"330","61A",4.28571428571429
"331","61A",4.14285714285714
"332","611",4
"333","611",3.57142857142857
"334","611",1.85714285714286
"335","612",2.71428571428571
"336","611",5
"337","611",4
"338","611",4
"339","612",5
"340","612",4.14285714285714
"341","612",5
"342","612",5
"343","612",5
"344","612",2.85714285714286
"345","611",3.57142857142857
"346","611",4
"347","46B",4.28571428571429
"348","611",4
"349","46A",4
"350","481",3.57142857142857
"351","481",4
"352","481",3.57142857142857
"353","44A",5
"354","482",1.71428571428571
"355","481",4.71428571428571
"356","47B",1
"357","47B",5
"358","47B",3.14285714285714
"359","47B",3.85714285714286
"360","47B",3.57142857142857
"361","442",2.71428571428571
"362","442",4
"363","442",5
"364","442",3.57142857142857
"365","441",5
"366","441",5
"367","442",4
"368","611",3
"369","442",3
"370","442",3.57142857142857
"371","441",4.85714285714286
"372","611",3.42857142857143
"373","611",3.85714285714286
"374","441",5
"375","442",4
"376","441",4
"377","431",2.42857142857143
"378","432",3
"379","432",4
"380","432",5
"381","432",3.57142857142857
"382","432",4.42857142857143
"383","432",4.14285714285714
"384","432",1
"385","422",4
"386","422",4
"387","422",4
"388","422",4
"389","422",4.71428571428571
"390","421",5
"391","422",5
"392","422",4.14285714285714
"393","422",5
"394","421",3.14285714285714
"395","422",4
"396","421",5
"397","421",4.71428571428571
"398","421",3.42857142857143
"399","422",4
"400","422",4
"401","41B",3.85714285714286
"402","41A",4
"403","41B",5
"404","41B",5
"405","41B",4
"406","41A",5
"407","421",4.42857142857143
"408","41A",4.28571428571429
"409","41B",4
"410","41A",5
"411","41A",5
"412","41A",5
"413","632",3.85714285714286
"414","632",5
"415","442",5
"416","442",4.42857142857143
"417","631",4
"418","632",5
"419","631",3.57142857142857
"420","312",4
"421","311",4
"422","312",2.71428571428571
"423","311",4
"424","312",5
"425","312",5
"426","311",5
"427","312",5
"428","322",5
"429","322",5
"430","322",5
"431","322",4.71428571428571
"432","322",2.42857142857143
"433","322",5
"434","322",5
"435","322",5
"436","412",5
"437","412",5
"438","412",5
"439","411",4
"440","412",4.42857142857143
"441","412",5
"442","412",5
"443","411",5
"444","411",5
"445","412",2.14285714285714
"446","412",3.14285714285714
"447","412",5
"448","411",4.14285714285714
"449","412",3.85714285714286
"450","41A",5
"451","41A",4
"452","41A",3
"453","41A",1
"454","41B",3.57142857142857
"455","41B",5
"456","41B",3.14285714285714
"457","41B",2.28571428571429
"458","41B",5
"459","41B",4
"460","41B",3.85714285714286
"461","41A",2.71428571428571
"462","41B",4
"463","41A",4.42857142857143
"464","41B",5
"465","41B",3.85714285714286
"466","41B",5
"467","41B",5
"468","41B",5
"469","41B",4
"470","41A",4.42857142857143
"471","41B",5
"472","41A",5
"473","41B",5
"474","41B",3.57142857142857
"475","431",5
"476","431",3.42857142857143
"477","431",5
"478","431",5
"479","431",4
"480","432",5
"481","432",2.71428571428571
"482","432",4
"483","442",2.71428571428571
"484","442",2.14285714285714
"485","441",1
"486","442",4
"487","441",5
"488","441",5
"489","441",2.14285714285714
"490","441",3.14285714285714
"491","442",5
"492","441",4
"493","442",5
"494","47B",3.14285714285714
"495","47B",5
"496","47B",3.85714285714286
"497","47B",5
"498","47B",4
"499","47B",5
"500","47B",3
"501","47B",5
"502","47B",5
"503","47B",4.85714285714286
"504","47B",1
"505","47B",5
"506","47B",5
"507","46B",4.85714285714286
"508","46B",5
"509","46A",5
"510","46A",1.71428571428571
"511","611",4
"512","611",2.28571428571429
"513","611",5
"514","611",5
"515","61A",5
"516","621",5
"517","621",5
"518","622",1
"519","622",5
"520","622",4
"521","621",5
"522","621",3.42857142857143
"523","621",4
"524","622",5
"525","622",2.71428571428571
"526","621",5
"527","621",1.57142857142857
"528","62A",5
"529","62A",5
"530","62A",5
"531","62A",5
"532","62A",2.71428571428571
"533","62A",5
"534","62A",5
"535","631",1
"536","632",4
"537","631",5
"538","632",4
"539","632",5
"540","632",5
"541","651",5
"542","651",5
"543","651",5
"544","811",3.14285714285714
"545","812",5
"546","812",5
"547","812",3.85714285714286
"548","812",5
"549","811",4
"550","812",5
"551","812",3
"552","812",4.42857142857143
"553","812",5
"554","812",1
"555","812",1
"556","812",4
"557","81B",5
"558","81A",5
"559","81A",5
"560","81A",2.71428571428571
"561","822",4
"562","822",5
"563","822",5
"564","822",3
"565","822",5
"566","822",4
"567","822",2.28571428571429
"568","821",5
"569","82B",4
"570","82B",4
"571","82B",5
"572","832",2.14285714285714
"573","831",5
"574","831",3.57142857142857
