"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","STORE_NAME","ADDRESS_CITY_NAME","ADDRESS_STATE_PROV_CODE","MSA_CODE","SEG_VALUE_NAME","PARKING_SPACE_QTY","SALES_AREA_SIZE_NUM","AVG_WEEKLY_BASKETS","DESCRIPTION","MANUFACTURER","CATEGORY","SUB_CATEGORY","DISCOUNT_PRICE","DISCOUNT_PERCENT","DISCOUNT","PRODUct_SIZE_Milli","Promo"
2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-01-21,367,1600027527,7,7,7,22.33,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-01-28,367,1600027527,9,9,9,28.71,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-02-04,367,1600027527,18,17,16,57.42,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-02-11,367,1600027527,243,187,179,403.38,1.66,3.19,"1","1","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.53,47.9623824451411,"1",362.275375,1
2009-02-18,367,1600027527,146,117,115,245.28,1.68,3.19,"0","1","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.51,47.3354231974922,"1",362.275375,1
2009-02-25,367,1600027527,131,105,103,217.46,1.66,3.19,"1","1","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.53,47.9623824451411,"1",362.275375,1
2009-03-04,367,1600027527,32,26,26,55.04,1.72,3.19,"0","1","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.47,46.0815047021944,"1",362.275375,1
2009-03-11,367,1600027527,18,18,18,54.18,3.01,3.01,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-03-18,367,1600027527,18,17,17,54.36,3.02,3.02,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-03-25,367,1600027527,8,7,7,22.72,2.84,2.84,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-04-01,367,1600027527,7,7,7,15.96,2.28,2.84,"0","0","1","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0.56,19.7183098591549,"1",362.275375,1
2009-04-08,367,1600027527,19,19,19,54.53,2.87,2.87,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-04-15,367,1600027527,18,18,18,57.42,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-04-22,367,1600027527,14,14,14,44.66,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-04-29,367,1600027527,18,16,14,57.42,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-05-06,367,1600027527,45,34,34,90,2,3.19,"1","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.19,37.3040752351097,"1",362.275375,1
2009-05-13,367,1600027527,17,17,17,54.23,3.19,3.19,"0","0","0","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,0
2009-05-20,367,1600027527,12,12,12,31.92,2.66,3.19,"0","0","1","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0.53,16.6144200626959,"1",362.275375,1
2009-05-27,367,1600027527,17,17,16,47.77,2.81,3.19,"0","0","1","15TH & MADISON","COVINGTON","KY","17140","VALUE",196,24721,12706.532051,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0.38,11.9122257053292,"1",362.275375,1
