"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","STORE_NAME","ADDRESS_CITY_NAME","ADDRESS_STATE_PROV_CODE","MSA_CODE","SEG_VALUE_NAME","PARKING_SPACE_QTY","SALES_AREA_SIZE_NUM","AVG_WEEKLY_BASKETS","DESCRIPTION","MANUFACTURER","CATEGORY","SUB_CATEGORY","DISCOUNT_PRICE","DISCOUNT_PERCENT","DISCOUNT","PRODUct_SIZE_Milli","C4","Promo"
2009-01-14,2277,1600027527,125,114,112,360,2.88,2.88,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-14,21227,1600027527,54,51,51,159.3,2.95,2.95,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-14,21237,1600027527,61,58,58,188.49,3.09,3.09,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-14,24991,1600027527,116,111,109,353.8,3.05,3.05,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-14,28909,1600027527,47,46,46,140.06,2.98,2.98,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-21,2277,1600027527,97,94,91,309.43,3.19,3.19,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-21,21227,1600027527,30,29,29,95.7,3.19,3.19,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-21,21237,1600027527,53,51,50,169.07,3.19,3.19,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-21,24991,1600027527,85,83,81,271.15,3.19,3.19,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-21,28909,1600027527,18,18,18,57.42,3.19,3.19,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-28,2277,1600027527,118,111,111,376.42,3.19,3.19,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-28,21227,1600027527,30,30,30,95.7,3.19,3.19,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-28,21237,1600027527,59,54,53,188.21,3.19,3.19,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-28,24991,1600027527,104,98,97,331.76,3.19,3.19,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-01-28,28909,1600027527,47,45,44,149.93,3.19,3.19,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-02-04,2277,1600027527,118,115,112,376.42,3.19,3.19,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-02-04,21227,1600027527,53,52,52,169.07,3.19,3.19,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-02-04,21237,1600027527,57,55,55,178.98,3.14,3.14,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-02-04,24991,1600027527,105,100,99,334.95,3.19,3.19,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-02-04,28909,1600027527,47,46,46,149.93,3.19,3.19,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-02-11,2277,1600027527,796,565,550,1321.36,1.66,3.19,"1","1","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.53,47.9623824451411,"1",362.275375,4,1
2009-02-11,21227,1600027527,685,471,461,1130.25,1.65,3.19,"1","1","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.54,48.2758620689655,"1",362.275375,4,1
2009-02-11,21237,1600027527,574,422,410,952.84,1.66,3.14,"1","1","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.48,47.1337579617834,"1",362.275375,4,1
2009-02-11,24991,1600027527,1006,799,776,1680.02,1.67,3.19,"1","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.52,47.6489028213166,"1",362.275375,4,1
2009-02-11,28909,1600027527,774,541,525,1277.1,1.65,3.19,"1","1","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.54,48.2758620689655,"1",362.275375,4,1
2009-02-18,2277,1600027527,448,351,346,712.32,1.59,3.19,"0","1","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.6,50.1567398119122,"1",362.275375,4,1
2009-02-18,21227,1600027527,376,294,291,609.12,1.62,3.19,"0","0","1","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.57,49.2163009404389,"1",362.275375,4,1
