"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @jasonmascaris: Fawad Khan Singing Hamesha At Pepsi Battle Of The Bands Finale Will Wash Away Your Monday Blues https://t.co/xmmGGaa7CO",FALSE,0,NA,2017-09-18 14:48:58,FALSE,NA,"909791360731009025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fawadfan213",4,TRUE,FALSE,NA,NA
"RT @TweetLlkeAGuy: They were legit all so pissed but the white guy at the end has me dying <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/nx5qdTYqBo",FALSE,0,NA,2017-09-18 14:48:38,FALSE,NA,"909791277037826048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","king_pepsi",30,TRUE,FALSE,NA,NA
"RT @FelicindaCluney: 8 Los yankees Ted Turner (fundador de CNN), Douglas Tompkins (The North Face), Herman Warden Lay (papas fritas Lay’s y…",FALSE,0,NA,2017-09-18 14:48:30,FALSE,NA,"909791244791971840",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sofy_Madryn",142,TRUE,FALSE,NA,NA
"Pepsi CEO’s rule for leaving work https://t.co/Cx9zSrdQCW",FALSE,0,NA,2017-09-18 14:47:44,FALSE,NA,"909791050620854272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tommarks80",0,FALSE,FALSE,NA,NA
"Update: Free 12 packs of Pepsi are questionable and when life hands you it DO NOT ACCEPT.",FALSE,0,NA,2017-09-18 14:47:42,FALSE,NA,"909791042425065473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marimodev",0,FALSE,FALSE,NA,NA
"Halloween Pepsi is gross - my #japan life update of the evening.",FALSE,0,NA,2017-09-18 14:47:38,FALSE,NA,"909791026469994498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AcaOtaku",0,FALSE,FALSE,NA,NA
"@Insane_Yoshi7 It is bullshit, I completely agree. Thank you so much for caring, it helps with this a lot.",FALSE,0,"Insane_Yoshi7",2017-09-18 14:47:27,FALSE,"909777636758556672","909790980907442176","2922890740","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","purified_pepsi",0,FALSE,FALSE,NA,NA
"RT @Ch4BrickTamland: WHEN YOU HIT YOUR TOE ON A CORAL REEF https://t.co/7OcDmSZIn7",FALSE,0,NA,2017-09-18 14:46:13,FALSE,NA,"909790671363624961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","king_pepsi",82,TRUE,FALSE,NA,NA
"@IRdotnet @realDonaldTrump Someone who tweeted that her pussy takes like Pepsi.",FALSE,0,"IRdotnet",2017-09-18 14:44:24,FALSE,"909386037448904705","909790213249085440","16790005","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","petraitis_john",0,FALSE,FALSE,NA,NA
"@BrianPHickey I voted ""Yes"" but I'll make 20 fake accounts for voting ""No"" if you don't call this The Pepsi Colon Challenge.",FALSE,0,"BrianPHickey",2017-09-18 14:44:13,FALSE,"909776193972576256","909790166612566016","231868810","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BevrajofChoice",0,FALSE,FALSE,NA,NA
