"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","createdDate"
"1","EnG T20I SqUaD Vs Wi PaGe 2
Jordan
Rashid
Curran
Bairstow
Dawson
Jake Ball
ThE EnD
#M_RaZZaQ*",FALSE,0,NA,2017-09-16 08:14:28,FALSE,NA,"908967309246529536",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","PePSI_PSL",0,FALSE,FALSE,NA,NA,2017-09-16
"2","@mrsalphablue <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>who. Pepsi or mr bean I don't see ears. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,1,"mrsalphablue",2017-09-16 08:14:23,FALSE,"908945457933676544","908967286266056705","248335619","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Natiefrance",0,FALSE,FALSE,NA,NA,2017-09-16
"3","RT @_Battles1_: NEW BATTLE <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

RT : EL FAMOSO @cocacolafr
FAV : EL FAMOSO @pepsi

<U+2B50><U+FE0F> Follow pour plus de battles epic ! <U+2B50><U+FE0F> https://t.co/PUWj…",FALSE,0,NA,2017-09-16 08:14:10,FALSE,NA,"908967230993465344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nagalon_CQ",35,TRUE,FALSE,NA,NA,2017-09-16
"4","RT @yohosiefgc: expectation vs reality https://t.co/mkvEvgPCS6",FALSE,0,NA,2017-09-16 08:13:50,FALSE,NA,"908967147866660867",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pepsi_bloom",1241,TRUE,FALSE,NA,NA,2017-09-16
"5","RT @MassRishad: Drinking pepsi http://t.co/OJyLxhBjaE",FALSE,0,NA,2017-09-16 08:13:35,FALSE,NA,"908967084150984706",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","losesapa1980",2,TRUE,FALSE,NA,NA,2017-09-16
"6","To practice what he preaches, Kohli drops Pepsi, fairness products
 https://t.co/YJod2H2KzM
Proud of u @imVkohli",FALSE,0,NA,2017-09-16 08:13:27,FALSE,NA,"908967051640815616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imTSS",0,FALSE,FALSE,NA,NA,2017-09-16
"7","RT @Social_Mime: We don't have Pepsi, is wine ok?

- Jesus as a waiter",FALSE,0,NA,2017-09-16 08:13:09,FALSE,NA,"908966974020927489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dx_arun",55,TRUE,FALSE,NA,NA,2017-09-16
"8","RT @BuxbiArts: a friend called me BuBu
and @AntonAisu talked in Yogi's voice

IT ONLY MAKES SENSE TH- https://t.co/pRPq2iFEQg",FALSE,0,NA,2017-09-16 08:13:06,FALSE,NA,"908966964785184769",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pepsi_bloom",22,TRUE,FALSE,NA,NA,2017-09-16
"9","RT @mepratap: To practice what he preaches, Kohli drops Pepsi, fairness products https://t.co/B0g1w6Vs7n",FALSE,0,NA,2017-09-16 08:13:00,FALSE,NA,"908966938604298240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chethan2kumar",5,TRUE,FALSE,NA,NA,2017-09-16
"10","RT @CuteEmergency: Me at any social event https://t.co/sN9lNNHI0P",FALSE,0,NA,2017-09-16 08:12:57,FALSE,NA,"908966926508068864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pepsi_bloom",1653,TRUE,FALSE,NA,NA,2017-09-16
"11","To practice what he preaches, Kohli drops #Pepsi, #fairnessproducts - #TimesofIndia #cricketcaptain...… https://t.co/I5bl3DGyjx",FALSE,0,NA,2017-09-16 08:12:57,TRUE,NA,"908966924901539840",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","racismolizer",0,FALSE,FALSE,NA,NA,2017-09-16
"12","RT @ItMeIRL: me<ed><U+00A0><U+00BE><ed><U+00B5><U+0092>irl https://t.co/DNwZNkwVk3",FALSE,0,NA,2017-09-16 08:12:39,FALSE,NA,"908966850519846912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pepsi_bloom",764,TRUE,FALSE,NA,NA,2017-09-16
"13","Took a 2 hour nap after clinicals today now I'm so awake after having a Pepsi with my dinner",FALSE,0,NA,2017-09-16 08:12:37,FALSE,NA,"908966841363468288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Asdzaa_Ann",0,FALSE,FALSE,NA,NA,2017-09-16
"14","RT @Tak_Fujii: Bad ass grape https://t.co/xohTXcFDim",FALSE,0,NA,2017-09-16 08:12:34,FALSE,NA,"908966828017426432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pepsi_bloom",44,TRUE,FALSE,NA,NA,2017-09-16
"15","RT @8owthighs: o yea i drew this https://t.co/3B2y4J7B0Y",FALSE,0,NA,2017-09-16 08:12:30,FALSE,NA,"908966811378601985",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pepsi_bloom",16,TRUE,FALSE,NA,NA,2017-09-16
"16","RT @SoDamnTrue: this is one of the best pepsi commercials of all time  https://t.co/ssk5l9dxEv",FALSE,0,NA,2017-09-16 08:12:24,FALSE,NA,"908966786682556416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sylvanagarcia_",2175,TRUE,FALSE,NA,NA,2017-09-16
"17","PaK ToUr Of ScO
2018
12 JuN 1sT T20i
At EdInBuRgH
TiMe 9:30 Pm
13  JuN 2nD T20i
At EdInBurGh
TiMe 9:30 Pm
#M:RaZZaQ*",FALSE,0,NA,2017-09-16 08:12:18,FALSE,NA,"908966761231400961",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","PePSI_PSL",0,FALSE,FALSE,NA,NA,2017-09-16
"18","RT @mepratap: To practice what he preaches, Kohli drops Pepsi, fairness products https://t.co/B0g1w6Vs7n",FALSE,0,NA,2017-09-16 08:12:06,FALSE,NA,"908966709645647872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RAVIBOSS123",5,TRUE,FALSE,NA,NA,2017-09-16
"19","waiter: ""what drink would you like"" 
me: ""??? ????? ?ƒ ?? ???????"" 
waiter: 
me: 
waiter: 
me: 
waiter: 
me: 
waiter: ""is pepsi okay""",FALSE,0,NA,2017-09-16 08:12:05,FALSE,NA,"908966707728875526",NA,"<a href=""http://www.kucukbeyin.com/"" rel=""nofollow"">sadvhasvdhajvsdj</a>","GirlFactsMsgs",0,FALSE,FALSE,NA,NA,2017-09-16
"20","RT @mepratap: To practice what he preaches, Kohli drops Pepsi, fairness products https://t.co/B0g1w6Vs7n",FALSE,0,NA,2017-09-16 08:11:52,FALSE,NA,"908966650971553792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sushmahari",5,TRUE,FALSE,NA,NA,2017-09-16
"21","RT @ClassicRockMag: Watch Tigertailz's heartfelt tribute to Pepsi Tate: https://t.co/8VPX6HjGfp @TailzOfficial https://t.co/wxS2EosbRg",FALSE,0,NA,2017-09-16 08:11:43,FALSE,NA,"908966614330114048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TailzOfficial",3,TRUE,FALSE,NA,NA,2017-09-16
"22","RT @toisports: To practice what he preaches, @imVkohli drops @pepsi, fairness products

Report <U+27A1><U+FE0F>https://t.co/giCqDFGY2B https://t.co/kSdrQ…",FALSE,0,NA,2017-09-16 08:11:29,FALSE,NA,"908966557279121409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biswajoy_bhatt",4,TRUE,FALSE,NA,NA,2017-09-16
"23","Food brands 'cheat' #easternEuropean shoppers with inferior products #pepsi #cocacola https://t.co/zxAf0Gz8kW",FALSE,0,NA,2017-09-16 08:11:28,FALSE,NA,"908966553756094465",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stancumonica",0,FALSE,FALSE,NA,NA,2017-09-16
"24","Cricket News
Jp Duminy Announced His Retirement From Test And First Class Cricket
#M_RaZZaQ*",FALSE,0,NA,2017-09-16 08:11:28,FALSE,NA,"908966550794833920",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","PePSI_PSL",0,FALSE,FALSE,NA,NA,2017-09-16
"25","Today - New video &amp; big Pepsi Show @rescuerooms 6pm
Fall In Love Again for Pepsi - Thanks @ClassicRockMag
https://t.co/LCdbsJLYez",FALSE,0,NA,2017-09-16 08:11:23,FALSE,NA,"908966530829910016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TailzOfficial",0,FALSE,FALSE,NA,NA,2017-09-16
"26","RT @mepratap: To practice what he preaches, Kohli drops Pepsi, fairness products https://t.co/B0g1w6Vs7n",FALSE,0,NA,2017-09-16 08:11:21,FALSE,NA,"908966524198592512",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Mukhota</a>","wtfex",5,TRUE,FALSE,NA,NA,2017-09-16
"27","To practice what he preaches, Kohli drops Pepsi, fairness products https://t.co/B0g1w6Vs7n",FALSE,9,NA,2017-09-16 08:11:20,FALSE,NA,"908966520650268672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mepratap",5,FALSE,FALSE,NA,NA,2017-09-16
"28","To practice what he preaches, Kohli drops Pepsi, fairness products - https://t.co/yAA92BRtn8 to be seen as a social… https://t.co/unvC5D85Ki",FALSE,0,NA,2017-09-16 08:11:13,TRUE,NA,"908966490111492097",NA,"<a href=""http://meerut.com"" rel=""nofollow"">meerutdotcom</a>","meerutdotcom",0,FALSE,FALSE,NA,NA,2017-09-16
